problem,pq_type,name,instance,threads,batch,stickiness,status,returncode,time_s,processed_nodes,ignored_nodes
mdkp,work_stealing,Simple work stealing,mdkp9,1,16,,ok,0,37.624470967,8731371,0
mdkp,work_stealing,Simple work stealing,mdkp9,1,16,,ok,0,37.368905824,8731371,0
mdkp,work_stealing,Simple work stealing,mdkp9,1,16,,ok,0,37.337972522,8731371,0
mdkp,work_stealing,Simple work stealing,mdkp9,2,16,,ok,0,17.32995969,8082224,0
mdkp,work_stealing,Simple work stealing,mdkp9,2,16,,ok,0,17.305588727,8080719,0
mdkp,work_stealing,Simple work stealing,mdkp9,2,16,,ok,0,17.306914261,8081196,0
mdkp,work_stealing,Simple work stealing,mdkp9,2,16,,ok,0,17.309296387,8081132,2
mdkp,work_stealing,Simple work stealing,mdkp9,2,16,,ok,0,17.314093309,8079831,1
mdkp,work_stealing,Simple work stealing,mdkp9,4,16,,ok,0,9.362818206,8742884,2
mdkp,work_stealing,Simple work stealing,mdkp9,4,16,,ok,0,9.362504736,8741369,0
mdkp,work_stealing,Simple work stealing,mdkp9,4,16,,ok,0,9.361163782,8744285,3
mdkp,work_stealing,Simple work stealing,mdkp9,4,16,,ok,0,9.370933097,8740110,1
mdkp,work_stealing,Simple work stealing,mdkp9,4,16,,ok,0,9.376437691,8747832,4
mdkp,work_stealing,Simple work stealing,mdkp9,8,16,,ok,0,5.329832743,9865619,7
mdkp,work_stealing,Simple work stealing,mdkp9,8,16,,ok,0,5.073720246,9405512,8
mdkp,work_stealing,Simple work stealing,mdkp9,8,16,,ok,0,5.177360482,9672088,11
mdkp,work_stealing,Simple work stealing,mdkp9,8,16,,ok,0,5.268953227,9846929,5
mdkp,work_stealing,Simple work stealing,mdkp9,8,16,,ok,0,4.809456797,8976555,6
mdkp,work_stealing,Simple work stealing,mdkp9,16,16,,ok,0,2.517179533,9357370,6
mdkp,work_stealing,Simple work stealing,mdkp9,16,16,,ok,0,2.487167655,9256115,18
mdkp,work_stealing,Simple work stealing,mdkp9,16,16,,ok,0,2.625852661,9781602,17
mdkp,work_stealing,Simple work stealing,mdkp9,16,16,,ok,0,2.526345266,9406746,11
mdkp,work_stealing,Simple work stealing,mdkp9,16,16,,ok,0,2.542607228,9468731,12
mdkp,work_stealing,Simple work stealing,mdkp9,32,16,,ok,0,1.264341286,9256797,26
mdkp,work_stealing,Simple work stealing,mdkp9,32,16,,ok,0,1.202819268,8796637,35
mdkp,work_stealing,Simple work stealing,mdkp9,32,16,,ok,0,1.140979539,8375189,19
mdkp,work_stealing,Simple work stealing,mdkp9,32,16,,ok,0,1.100579645,8042780,27
mdkp,work_stealing,Simple work stealing,mdkp9,32,16,,ok,0,1.148415118,8426567,30
mdkp,work_stealing,Simple work stealing,mdkp9,64,16,,ok,0,0.591308668,8436405,51
mdkp,work_stealing,Simple work stealing,mdkp9,64,16,,ok,0,0.641582617,9206854,53
mdkp,work_stealing,Simple work stealing,mdkp9,64,16,,ok,0,0.569752003,8095719,43
mdkp,work_stealing,Simple work stealing,mdkp9,64,16,,ok,0,0.55291171,7784762,41
mdkp,work_stealing,Simple work stealing,mdkp9,64,16,,ok,0,0.638009008,9083639,31
mdkp,work_stealing,Simple work stealing,mdkp9,128,16,,ok,0,0.332620054,8414633,84
mdkp,work_stealing,Simple work stealing,mdkp9,128,16,,ok,0,0.341241086,8670872,110
mdkp,work_stealing,Simple work stealing,mdkp9,128,16,,ok,0,0.33477944,8479571,86
mdkp,work_stealing,Simple work stealing,mdkp9,128,16,,ok,0,0.335165241,8454017,57
mdkp,work_stealing,Simple work stealing,mdkp9,128,16,,ok,0,0.312247352,7848130,64
mdkp,work_stealing,Simple work stealing,mdkp9,256,16,,ok,0,0.298971828,8373793,177
mdkp,work_stealing,Simple work stealing,mdkp9,256,16,,ok,0,0.293035803,8294922,154
mdkp,work_stealing,Simple work stealing,mdkp9,256,16,,ok,0,0.296325011,8302513,158
mdkp,work_stealing,Simple work stealing,mdkp9,256,16,,ok,0,0.339387721,9752902,133
mdkp,work_stealing,Simple work stealing,mdkp9,256,16,,ok,0,0.295517979,8364505,158
mdkp,work_stealing,Simple work stealing,mdkp9,512,16,,ok,0,0.228390106,9364899,264
mdkp,work_stealing,Simple work stealing,mdkp9,512,16,,ok,0,0.205162607,8397579,302
mdkp,work_stealing,Simple work stealing,mdkp9,512,16,,ok,0,0.190629669,8187216,288
mdkp,work_stealing,Simple work stealing,mdkp9,512,16,,ok,0,0.201094057,8728852,280
mdkp,work_stealing,Simple work stealing,mdkp9,512,16,,ok,0,0.217096968,9153728,287
mdkp,multilifo,MultiLIFO,mdkp9,1,16,,ok,0,37.636356211,8731371,0
mdkp,multilifo,MultiLIFO,mdkp9,2,16,,ok,0,17.679607052,8066114,7
mdkp,multilifo,MultiLIFO,mdkp9,4,16,,ok,0,9.351988339,8389417,13
mdkp,multilifo,MultiLIFO,mdkp9,8,16,,ok,0,4.9636903,8503858,33
mdkp,multilifo,MultiLIFO,mdkp9,16,16,,ok,0,2.455531027,8498921,71
mdkp,multilifo,MultiLIFO,mdkp9,32,16,,ok,0,1.316778204,8970115,131
mdkp,multilifo,MultiLIFO,mdkp9,64,16,,ok,0,0.6634767,8828997,169
mdkp,multilifo,MultiLIFO,mdkp9,128,16,,ok,0,0.362111368,8573103,251
mdkp,multilifo,MultiLIFO,mdkp9,256,16,,ok,0,0.3429285,9381455,324
mdkp,multilifo,MultiLIFO,mdkp9,512,16,,ok,0,0.258820421,9143797,349
mdkp,treiber_stack,Treiber stack,mdkp9,1,16,,ok,0,37.628069943,8731371,0
mdkp,treiber_stack,Treiber stack,mdkp9,1,16,,ok,0,37.605464975,8731371,0
mdkp,treiber_stack,Treiber stack,mdkp9,1,16,,ok,0,37.564012287,8731371,0
mdkp,treiber_stack,Treiber stack,mdkp9,1,16,,ok,0,37.655369134,8731371,0
mdkp,treiber_stack,Treiber stack,mdkp9,1,16,,ok,0,37.576495469,8731371,0
mdkp,treiber_stack,Treiber stack,mdkp9,2,16,,ok,0,37.670955958,8731369,1
mdkp,treiber_stack,Treiber stack,mdkp9,2,16,,ok,0,37.194602353,8722844,1
mdkp,treiber_stack,Treiber stack,mdkp9,2,16,,ok,0,37.514260444,8731157,1
mdkp,treiber_stack,Treiber stack,mdkp9,2,16,,ok,0,37.472840849,8731371,0
mdkp,treiber_stack,Treiber stack,mdkp9,2,16,,ok,0,37.495996887,8731349,0
mdkp,treiber_stack,Treiber stack,mdkp9,4,16,,ok,0,37.204150266,8731338,0
mdkp,treiber_stack,Treiber stack,mdkp9,4,16,,ok,0,34.99261279,8436888,1
mdkp,treiber_stack,Treiber stack,mdkp9,4,16,,ok,0,36.499892479,8730411,0
mdkp,treiber_stack,Treiber stack,mdkp9,4,16,,ok,0,36.931852014,8731365,1
mdkp,treiber_stack,Treiber stack,mdkp9,4,16,,ok,0,35.414112617,8731324,1
mdkp,treiber_stack,Treiber stack,mdkp9,8,16,,ok,0,24.438240404,8024052,3
mdkp,treiber_stack,Treiber stack,mdkp9,8,16,,ok,0,28.358215331,8406181,4
mdkp,treiber_stack,Treiber stack,mdkp9,8,16,,ok,0,28.942714486,8801847,5
mdkp,treiber_stack,Treiber stack,mdkp9,8,16,,ok,0,27.638147255,8731351,5
mdkp,treiber_stack,Treiber stack,mdkp9,8,16,,ok,0,23.865129729,8669385,6
mdkp,treiber_stack,Treiber stack,mdkp9,16,16,,ok,0,8.943655397,8253277,16
mdkp,treiber_stack,Treiber stack,mdkp9,16,16,,ok,0,9.544946824,8429841,15
mdkp,treiber_stack,Treiber stack,mdkp9,16,16,,ok,0,9.576439662,8634402,14
mdkp,treiber_stack,Treiber stack,mdkp9,16,16,,ok,0,10.125477567,8612838,12
mdkp,treiber_stack,Treiber stack,mdkp9,16,16,,ok,0,11.330241779,9016367,22
mdkp,treiber_stack,Treiber stack,mdkp9,32,16,,ok,0,6.890246416,8687288,18
mdkp,treiber_stack,Treiber stack,mdkp9,32,16,,ok,0,6.516943598,8109333,23
mdkp,treiber_stack,Treiber stack,mdkp9,32,16,,ok,0,7.023416894,8803737,19
mdkp,treiber_stack,Treiber stack,mdkp9,32,16,,ok,0,7.086906469,8956151,13
mdkp,treiber_stack,Treiber stack,mdkp9,32,16,,ok,0,6.829701447,8720897,14
mdkp,treiber_stack,Treiber stack,mdkp9,64,16,,ok,0,5.305844672,9212503,24
mdkp,treiber_stack,Treiber stack,mdkp9,64,16,,ok,0,4.550366994,7769475,44
mdkp,treiber_stack,Treiber stack,mdkp9,64,16,,ok,0,4.687725382,8024380,31
mdkp,treiber_stack,Treiber stack,mdkp9,64,16,,ok,0,5.140762595,8988120,32
mdkp,treiber_stack,Treiber stack,mdkp9,64,16,,ok,0,5.086611512,8963747,18
mdkp,treiber_stack,Treiber stack,mdkp9,128,16,,ok,0,3.477331687,7903009,41
mdkp,treiber_stack,Treiber stack,mdkp9,128,16,,ok,0,3.432934747,7759442,38
mdkp,treiber_stack,Treiber stack,mdkp9,128,16,,ok,0,3.537610165,8005861,67
mdkp,treiber_stack,Treiber stack,mdkp9,128,16,,ok,0,3.74689941,8648996,46
mdkp,treiber_stack,Treiber stack,mdkp9,128,16,,ok,0,3.582346665,8072592,50
mdkp,treiber_stack,Treiber stack,mdkp9,256,16,,ok,0,2.772577885,8327077,27
mdkp,treiber_stack,Treiber stack,mdkp9,256,16,,ok,0,2.4940221,7515887,68
mdkp,treiber_stack,Treiber stack,mdkp9,256,16,,ok,0,2.669606662,8129802,59
mdkp,treiber_stack,Treiber stack,mdkp9,256,16,,ok,0,2.664421429,8038888,52
mdkp,treiber_stack,Treiber stack,mdkp9,256,16,,ok,0,2.516698736,7601754,79
mdkp,treiber_stack,Treiber stack,mdkp9,512,16,,ok,0,2.418323085,8127706,31
mdkp,treiber_stack,Treiber stack,mdkp9,512,16,,ok,0,2.37221655,7981780,56
mdkp,treiber_stack,Treiber stack,mdkp9,512,16,,ok,0,2.301014686,7740723,67
mdkp,treiber_stack,Treiber stack,mdkp9,512,16,,ok,0,2.328518483,7844417,40
mdkp,treiber_stack,Treiber stack,mdkp9,512,16,,ok,0,2.335705301,7929388,34
mdkp,2d_stack,2D-stack,mdkp9,1,16,,ok,0,37.505024354,8731371,0
mdkp,2d_stack,2D-stack,mdkp9,1,16,,ok,0,37.530425337,8731371,0
mdkp,2d_stack,2D-stack,mdkp9,1,16,,ok,0,37.473463857,8731371,0
mdkp,2d_stack,2D-stack,mdkp9,1,16,,ok,0,37.690667776,8731371,0
mdkp,2d_stack,2D-stack,mdkp9,1,16,,ok,0,37.681097485,8731371,0
mdkp,2d_stack,2D-stack,mdkp9,2,16,,ok,0,17.412277041,8082635,1
mdkp,2d_stack,2D-stack,mdkp9,2,16,,ok,0,16.893157835,7743776,1
mdkp,2d_stack,2D-stack,mdkp9,2,16,,ok,0,19.7258413,9079704,0
